Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart
2026-04-04,Degerfors,Sirius,0,3,2026,2026
2026-04-04,Hammarby,Mjallby,3,0,2026,2026
2026-04-05,AIK,Halmstad,2,1,2026,2026
2026-04-05,Kalmar,Vasteras SK,0,1,2026,2026
2026-04-05,Orgryte,Malmo FF,1,1,2026,2026
2026-04-06,Elfsborg,Goteborg,2,0,2026,2026
2026-04-06,Hacken,Brommapojkarna,2,2,2026,2026
2026-04-06,GAIS,Djurgarden,0,1,2026,2026
2026-04-11,Goteborg,Hacken,0,2,2026,2026
2026-04-11,Mjallby,Orgryte,0,2,2026,2026
2026-04-11,Vasteras SK,Elfsborg,2,2,2026,2026
2026-04-12,Djurgarden,Kalmar,3,2,2026,2026
2026-04-12,Halmstad,Degerfors,0,3,2026,2026
2026-04-12,Malmo FF,GAIS,3,1,2026,2026
2026-04-13,Brommapojkarna,AIK,2,2,2026,2026
2026-04-13,Sirius,Hammarby,2,0,2026,2026
2026-04-17,Degerfors,Elfsborg,0,1,2026,2026
2026-04-17,Djurgarden,Malmo FF,0,1,2026,2026
2026-04-18,Halmstad,Goteborg,1,1,2026,2026
2026-04-18,Hammarby,Orgryte,8,1,2026,2026
2026-04-18,Mjallby,Brommapojkarna,3,0,2026,2026
2026-04-18,Sirius,Vasteras SK,4,1,2026,2026
2026-04-19,AIK,Kalmar,1,0,2026,2026
2026-04-19,Hacken,GAIS,2,1,2026,2026
2026-04-22,Elfsborg,Djurgarden,2,1,2026,2026
2026-04-22,Hammarby,Halmstad,1,1,2026,2026
2026-04-22,Orgryte,Brommapojkarna,1,2,2026,2026
2026-04-22,Vasteras SK,Hacken,3,3,2026,2026
2026-04-23,Degerfors,AIK,2,1,2026,2026
2026-04-23,GAIS,Mjallby,0,0,2026,2026
2026-04-23,Kalmar,Goteborg,1,1,2026,2026
2026-04-23,Malmo FF,Sirius,2,3,2026,2026
2026-04-26,Djurgarden,Hammarby,1,1,2026,2026
2026-04-26,Brommapojkarna,Vasteras SK,1,2,2026,2026
2026-04-26,Goteborg,GAIS,2,2,2026,2026
2026-04-27,AIK,Malmo FF,0,1,2026,2026
2026-04-27,Hacken,Sirius,2,2,2026,2026
2026-04-27,Kalmar,Elfsborg,2,1,2026,2026
2026-04-27,Mjallby,Halmstad,2,0,2026,2026
2026-04-27,Orgryte,Degerfors,1,1,2026,2026
