Date,HomeTeam,AwayTeam
2026-05-10,AIK,Djurgarden
2026-05-10,Kalmar,Halmstad
2026-05-10,Hacken,Malmo FF
2026-05-11,Sirius,Orgryte
2026-05-16,GAIS,Degerfors
2026-05-16,Halmstad,Elfsborg
2026-05-17,Hammarby,Malmo FF
2026-05-17,Brommapojkarna,Kalmar
2026-05-17,Mjallby,Hacken
2026-05-17,Vasteras SK,AIK
2026-05-18,Djurgarden,Sirius
2026-05-18,Orgryte,Goteborg
2026-05-20,GAIS,Hammarby
2026-05-21,Elfsborg,Mjallby
2026-05-22,Djurgarden,Brommapojkarna
2026-05-23,Halmstad,Orgryte
2026-05-23,Kalmar,Degerfors
2026-05-24,Hammarby,AIK
2026-05-24,Sirius,GAIS
2026-05-24,Malmo FF,Vasteras SK
2026-05-25,Elfsborg,Hacken
2026-05-25,Goteborg,Mjallby
2026-05-29,Orgryte,Elfsborg
2026-05-30,AIK,Sirius
2026-05-30,GAIS,Kalmar
2026-05-30,Malmo FF,Halmstad
2026-05-31,Hacken,Hammarby
2026-05-31,Degerfors,Brommapojkarna
2026-05-31,Vasteras SK,Goteborg
2026-05-31,Mjallby,Djurgarden
2026-07-05,Hacken,Djurgarden
2026-07-05,Degerfors,Malmo FF
2026-07-05,Halmstad,Vasteras SK
2026-07-05,Brommapojkarna,GAIS
2026-07-05,Elfsborg,Hammarby
2026-07-05,Goteborg,AIK
2026-07-05,Sirius,Mjallby
2026-07-05,Kalmar,Orgryte
2026-07-12,Djurgarden,Halmstad
2026-07-12,GAIS,Elfsborg
2026-07-12,Hammarby,Kalmar
2026-07-12,Brommapojkarna,Sirius
2026-07-12,Malmo FF,Goteborg
2026-07-12,Mjallby,AIK
2026-07-12,Orgryte,Hacken
2026-07-12,Vasteras SK,Degerfors
2026-07-19,AIK,GAIS
2026-07-19,Halmstad,Hacken
2026-07-19,Hammarby,Degerfors
2026-07-19,Elfsborg,Sirius
2026-07-19,Goteborg,Brommapojkarna
2026-07-19,Kalmar,Malmo FF
2026-07-19,Mjallby,Vasteras SK
2026-07-19,Orgryte,Djurgarden
2026-07-26,Hacken,AIK
2026-07-26,Degerfors,Djurgarden
2026-07-26,GAIS,Halmstad
2026-07-26,Brommapojkarna,Hammarby
2026-07-26,Sirius,Goteborg
2026-07-26,Kalmar,Mjallby
2026-07-26,Malmo FF,Elfsborg
2026-07-26,Vasteras SK,Orgryte
2026-08-02,AIK,Orgryte
2026-08-02,Hacken,Kalmar
2026-08-02,Djurgarden,Vasteras SK
2026-08-02,Halmstad,Sirius
2026-08-02,Brommapojkarna,Malmo FF
2026-08-02,Goteborg,Degerfors
2026-08-09,Halmstad,GAIS
2026-08-09,Hammarby,Hacken
2026-08-09,Goteborg,Kalmar
2026-08-09,Sirius,Brommapojkarna
2026-08-09,Malmo FF,Degerfors
2026-08-09,Mjallby,Elfsborg
2026-08-09,Orgryte,AIK
2026-08-09,Vasteras SK,Djurgarden
2026-08-16,Hacken,Halmstad
2026-08-16,Degerfors,Goteborg
2026-08-16,Djurgarden,AIK
2026-08-16,GAIS,Malmo FF
2026-08-16,Brommapojkarna,Orgryte
2026-08-16,Elfsborg,Vasteras SK
2026-08-16,Kalmar,Hammarby
2026-08-16,Mjallby,Sirius
2026-08-23,AIK,Mjallby
2026-08-23,Hammarby,GAIS
2026-08-23,Brommapojkarna,Degerfors
2026-08-23,Goteborg,Elfsborg
2026-08-23,Sirius,Hacken
2026-08-23,Malmo FF,Djurgarden
2026-08-23,Orgryte,Halmstad
2026-08-23,Vasteras SK,Kalmar
2026-08-30,AIK,Hammarby
