,home_games,home_goals_scored,home_goals_conceded,home_points,home_goals_avg,home_goals_conceded_avg,away_games,away_goals_scored,away_goals_conceded,away_points,away_goals_avg,away_goals_conceded_avg,total_games,avg_goals_scored,avg_goals_conceded,avg_points,goal_difference,league_avg,attack_strength,defense_strength,home_attack_strength,away_attack_strength,home_defense_strength,away_defense_strength,consistency,strength_of_schedule,total_goals_scored,total_goals_conceded,recent_form
Brage,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.5,-1.0,1.482,0.675,1.349,0.675,0.675,1.349,1.349,1.0,0.827,2.0,4.0,0.5
Vasteras SK,19.0,1.39,1.661,0.732,1.39,1.661,20.0,1.497,2.055,1.824,1.497,2.055,39.0,1.445,1.863,1.292,-0.418,1.482,0.975,1.257,0.938,1.01,1.12,1.387,1.372,1.025,56.356,72.662,1.4
Syrianska,30.0,1.435,2.059,0.613,1.435,2.059,30.0,0.654,2.525,0.305,0.654,2.525,60.0,1.045,2.292,0.459,-1.247,1.482,0.705,1.546,0.968,0.441,1.389,1.704,1.47,0.854,62.681,137.523,0.6
Mjallby,139.0,1.264,0.682,1.676,1.264,0.682,141.0,1.672,1.136,1.715,1.672,1.136,280.0,1.469,0.911,1.696,0.559,1.482,0.991,0.614,0.852,1.128,0.46,0.766,0.905,0.914,411.443,255.024,1.6
Kalmar,202.0,1.504,0.787,2.161,1.504,0.787,201.0,0.945,1.94,0.009,0.945,1.94,403.0,1.225,1.362,1.088,-0.137,1.482,0.827,0.919,1.015,0.638,0.531,1.309,1.023,0.895,493.82,548.862,1.8
Sirius,141.0,2.54,0.863,2.821,2.54,0.863,140.0,2.524,1.748,2.242,2.524,1.748,281.0,2.532,1.304,2.533,1.229,1.482,1.708,0.88,1.714,1.703,0.582,1.179,1.038,0.884,711.568,366.339,2.6
Landskrona,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,-0.5,1.482,0.675,1.012,0.675,0.675,1.012,1.012,1.0,0.884,2.0,3.0,0.5
Gefle,76.0,1.094,1.366,1.111,1.094,1.366,76.0,1.703,1.778,1.368,1.703,1.778,152.0,1.398,1.572,1.24,-0.173,1.482,0.943,1.06,0.738,1.149,0.921,1.199,1.099,0.828,212.565,238.935,2.2
Degerfors,65.0,0.771,1.885,0.757,0.771,1.885,64.0,1.491,1.218,1.254,1.491,1.218,129.0,1.128,1.554,1.004,-0.426,1.482,0.761,1.048,0.52,1.006,1.271,0.822,1.25,0.969,145.545,200.473,0.6
Malmo FF,214.0,2.052,2.329,0.816,2.052,2.329,215.0,1.297,1.721,1.339,1.297,1.721,429.0,1.674,2.024,1.078,-0.35,1.482,1.129,1.365,1.385,0.875,1.571,1.161,0.637,0.889,718.052,868.308,0.6
Falkenbergs,76.0,1.473,2.053,0.994,1.473,2.053,76.0,0.759,1.784,0.606,0.759,1.784,152.0,1.116,1.918,0.8,-0.802,1.482,0.753,1.294,0.994,0.512,1.385,1.203,1.469,0.88,169.637,291.604,0.8
Djurgarden,216.0,2.253,1.503,1.193,2.253,1.503,213.0,2.071,1.341,1.922,2.071,1.341,429.0,2.163,1.422,1.555,0.74,1.482,1.459,0.96,1.52,1.397,1.014,0.904,0.797,0.866,927.791,610.163,1.4
Orgryte,4.0,1.312,1.861,0.451,1.312,1.861,5.0,0.496,3.119,0.485,0.496,3.119,9.0,0.859,2.56,0.47,-1.701,1.482,0.579,1.727,0.885,0.335,1.255,2.104,1.825,0.997,7.728,23.039,0.2
Hammarby,171.0,3.103,0.871,2.137,3.103,0.871,169.0,0.772,1.259,1.164,0.772,1.259,340.0,1.944,1.064,1.654,0.881,1.482,1.312,0.718,2.094,0.521,0.587,0.849,0.79,0.891,661.11,361.622,1.8
Hacken,214.0,2.094,1.742,1.847,2.094,1.742,215.0,1.479,1.057,1.659,1.479,1.057,429.0,1.786,1.399,1.753,0.387,1.482,1.205,0.944,1.413,0.998,1.175,0.713,0.833,0.882,766.049,600.076,1.8
GAIS,50.0,1.524,0.496,1.775,1.524,0.496,50.0,1.238,1.644,0.95,1.238,1.644,100.0,1.381,1.07,1.362,0.311,1.482,0.932,0.722,1.028,0.835,0.334,1.109,1.032,0.96,138.113,106.997,2.0
Sundsvall,107.0,1.418,2.542,0.65,1.418,2.542,107.0,0.468,3.088,0.14,0.468,3.088,214.0,0.943,2.815,0.395,-1.872,1.482,0.636,1.899,0.956,0.316,1.715,2.083,1.265,0.882,201.795,602.372,0.0
Osters,15.0,0.843,1.441,0.794,0.843,1.441,15.0,0.899,1.493,0.947,0.899,1.493,30.0,0.871,1.467,0.871,-0.596,1.482,0.588,0.99,0.569,0.607,0.972,1.008,1.224,0.858,26.134,44.023,0.6
Jonkopings,32.0,1.0,3.0,0.0,1.0,3.0,32.0,0.0,1.0,0.0,0.0,1.0,64.0,0.5,2.0,0.0,-1.5,1.482,0.337,1.349,0.675,0.1,2.024,0.675,1.106,0.863,32.002,127.996,0.4
Elfsborg,216.0,1.521,0.878,1.794,1.521,0.878,214.0,1.055,1.442,1.074,1.055,1.442,430.0,1.289,1.159,1.436,0.13,1.482,0.869,0.782,1.026,0.712,0.592,0.973,0.812,0.902,554.175,498.199,1.4
Oster,16.0,1.283,1.832,0.796,1.283,1.832,16.0,0.867,1.847,0.902,0.867,1.847,32.0,1.075,1.84,0.849,-0.765,1.482,0.725,1.241,0.866,0.585,1.236,1.246,1.413,0.98,34.406,58.874,0.8
Atvidabergs,60.0,1.085,1.8,0.552,1.085,1.8,60.0,0.48,2.274,0.437,0.48,2.274,120.0,0.782,2.037,0.494,-1.254,1.482,0.528,1.374,0.732,0.324,1.214,1.534,1.115,0.866,93.9,244.387,0.0
Halmstad,129.0,1.002,1.465,1.121,1.002,1.465,128.0,0.57,1.66,0.547,0.57,1.66,257.0,0.787,1.562,0.835,-0.775,1.482,0.531,1.054,0.676,0.385,0.988,1.12,1.166,0.92,202.248,401.458,0.8
Goteborg,214.0,0.861,1.344,0.732,0.861,1.344,215.0,1.185,2.167,1.284,1.185,2.167,429.0,1.024,1.756,1.009,-0.733,1.482,0.691,1.185,0.581,0.8,0.907,1.462,0.899,0.914,439.188,753.512,1.0
Helsingborg,122.0,0.583,1.69,0.377,0.583,1.69,122.0,0.74,2.126,0.566,0.74,2.126,244.0,0.662,1.908,0.471,-1.246,1.482,0.446,1.287,0.394,0.499,1.14,1.435,1.116,0.891,161.476,465.562,0.0
